country,x,y
Sweden,1562.752381,858.3739837
Sweden,1568.485714,1067.197832
Sweden,1574.862585,814.4250871
Sweden,1572.990476,642.0921409
Sweden,1584.093122,844.0794941
Sweden,1592.062585,775.2706156
Sweden,1598.995238,589.8861789
Sweden,1604.933333,629.0406504
Sweden,1610.081633,806.4343786
Sweden,1618.693333,876.2731707
Sweden,1623.361905,967.4471545
Sweden,1632.371429,946.4715447
Sweden,1638.92381,1106.973803
Sweden,1637.285714,1178.601626
Sweden,1649.325714,1101.504607
Sweden,1650.390476,961.3875339
Sweden,1655.129252,1352.998839
Sweden,1653.257143,1468.065041
Sweden,1662.67619,1171.609756
Sweden,1672.709524,1197.479675
Sweden,1673.733333,1110.081301
Sweden,1681.92381,1262.504065
Sweden,1689.977778,1345.940379
Sweden,1696.666667,1087.707317
Sweden,1698.304762,1233.138211
Sweden,1703.219048,1424.01626
Sweden,1700.761905,1544.509485
Sweden,1713.047619,1452.527552
Sweden,1720.555556,1140.534779
Sweden,1720.419048,1282.236676
Sweden,1726.503401,980.6318235
Sweden,1730.94966,1113.277584
Sweden,1738.028571,1020.585366
Sweden,1743.352381,849.9837398
Sweden,1751.406349,839.7289973
Sweden,1759.078095,877.3918699
Sweden,1760.757143,964.6504065
Sweden,1770.244444,874.2222222
Sweden,1771.2,746.504065
Sweden,1780.209524,933.8861789
Sweden,1790.959524,949.7344173
Sweden,1790.857143,1042.95935
Sweden,1797.819048,810.8292683
Sweden,1799.866667,718.5365854
England,1304.342857,189.6969697
England,1313.352381,203.4264597
England,1322.361905,208.511456
England,1331.371429,171.8994826
England,1340.380952,222.240946
England,1347.752381,229.5052265
England,1353.485714,484.4088269
England,1361.67619,495.3052476
England,1369.866667,419.5953026
England,1377.647619,418.1658537
England,1385.311565,536.3484321
England,1390.615873,642.0921409
England,1399.352381,669.2121212
England,1407.133333,636.498645
England,1411.911111,575.5916893
England,1420.647619,678.3651146
England,1429.657143,609.7176644
England,1439.017687,545.9372822
England,1438.052381,479.4146341
England,1447.67619,617.8536585
England,1456.685714,575.1396896
England,1465.695238,574.1226903
England,1474.704762,519.7132299
England,1483.714286,557.8507021
England,1492.72381,580.7331855
England,1501.651429,645.8211382
England,1510.742857,692.6031042
England,1522.209524,722.6045824
England,1531.310053,652.6576332
England,1539.819048,627.3626016
England,1549.238095,615.3111604
England,1558.247619,622.0487805
England,1556.2,424.8780488
England,1566.028571,780.0650407
England,1577.904762,694.5644599
England,1584.184127,517.1707317
England,1586.709524,455.6422764
England,1594.449524,576.0143089
England,1596.333333,399.7073171
England,1605.240476,661.203252
England,1607.390476,730.6558266
England,1616.4,602.5986696
England,1625,643.0243902
England,1633.365986,482.8106852
England,1642.711905,550.0325203
England,1649.161905,470.1853659
England,1655.550476,632.396748
England,1654.485714,787.0569106
England,1661.857143,637.4308943
England,1667.180952,794.0487805
England,1667.180952,915.4276423
England,1673.733333,787.895935
England,1680.285714,959.5654102
England,1686.019048,947.8699187
England,1688.47619,1108.216802
England,1693.507483,1241.12892
England,1703.833333,1280.682927
England,1712.579592,1082.113821
England,1711,1009.398374
England,1722.057143,1328.227642
England,1729.428571,1284.278746
England,1736.718095,1364.585366
England,1746.08254,1397.835592
England,1754.409524,1450.585366
England,1763.009524,1592.64745
England,1772.019048,1621.123429
England,1781.028571,1687.736881
England,1790.038095,1672.990392
England,1797,1828.845528
England,1799.866667,1909.95122
Spain,1304.015238,437.7430894
Spain,1314.683333,428.3739837
Spain,1323.508571,396.3512195
Spain,1332.190476,461.2357724
Spain,1342.019048,535.3495935
Spain,1350.619048,448.6504065
Spain,1360.55,395.5121951
Spain,1369.375238,305.7365854
Spain,1378.967196,267.9494128
Spain,1387.47619,290.0747967
Spain,1400.089524,335.9414634
Spain,1409.180952,340.9756098
Spain,1419.126531,334.9825784
Spain,1428.019048,358.4552846
Spain,1437.847619,344.789357
Spain,1446.55,338.1788618
Spain,1456.480952,345.1707317
Spain,1465.422222,301.5103884
Spain,1475.640816,301.4216028
Spain,1484.430952,342.3739837
